Time_ms,Voltage_mV
71.5,-70.26451487757967
72.0,-70.26103006363238
72.5,-70.25759011740112
73.0,-70.254194487419
73.5,-70.25084262835095
74.0,-70.24753400094157
74.5,-70.24426807196237
75.0,-70.24104431415945
75.5,-70.23786220620124
76.0,-70.23472123262617
76.5,-70.23162088379058
77.0,-70.22856065581688
77.5,-70.2255400505415
78.0,-70.22255857546332
78.5,-70.21961574369206
79.0,-70.21671107389683
79.5,-70.21384409025492
80.0,-70.21101432240079
80.5,-70.20822130537498
81.0,-70.20546457957366
81.5,-70.20274369069791
82.0,-70.20005818970347
82.5,-70.19740763275067
83.0,-70.19479158115459
83.5,-70.1922096013352
84.0,-70.18966126476803
84.5,-70.187146147935
85.0,-70.18466383227539
85.5,-70.18221390413713
86.0,-70.17979595472822
86.5,-70.17740958006864
87.0,-70.17505438094229
87.5,-70.17272996284927
88.0,-70.1704359359585
88.5,-70.16817191506044
89.0,-70.16593751952031
89.5,-70.16373237323138
90.0,-70.16155610456869
90.5,-70.15940834634291
91.0,-70.15728873575465
91.5,-70.15519691434896
92.0,-70.15313252797017
92.5,-70.15109522671699
93.0,-70.1490846648979
93.5,-70.14710050098694
94.0,-70.14514239757966
94.5,-70.14321002134952
95.0,-70.1413030430045
95.5,-70.13942113724404
96.0,-70.13756398271636
96.5,-70.13573126197596
97.0,-70.13392266144162
97.5,-70.13213787135453
98.0,-70.13037658573685
98.5,-70.12863850235057
99.0,-70.1269233226567
99.5,-70.12523075177472
100.0,-70.12356049844246
100.5,-65.12191227497615
101.0,-61.14466825222621
101.5,-57.27269986925621
102.0,-52.89943426682737
102.5,-47.241489772420294
103.0,-38.78701567684734
103.5,-23.764860582686094
104.0,9.98917910468565
104.5,-65.0
105.0,-65.25237209488955
105.5,-65.44070942585566
106.0,-65.57020150541568
106.5,-65.64691109323799
107.0,-65.67710991332214
107.5,-65.66680966477476
108.0,-65.62147338228763
108.5,-65.54586966380162
109.0,-65.4440272712522
109.5,-65.3192524772625
110.0,-65.17418018549316
110.5,-65.01083862457946
111.0,-64.83071463247263
111.5,-64.6348117775557
112.0,-64.42369697786448
112.5,-64.19753325538645
113.0,-63.95609716933284
113.5,-63.69877959078581
114.0,-63.4245679762467
114.5,-63.13200721505243
115.0,-62.81913438476176
115.5,-62.483380116221795
116.0,-62.12142529733134
116.5,-61.72899573957021
117.0,-61.30056781304626
117.5,-60.828942480504054
118.0,-60.30461919271273
118.5,-59.714856435561316
119.0,-59.042226191700315
119.5,-58.262322488210884
120.0,-57.34000013593157
120.5,-56.22294334448277
121.0,-54.83012516790536
121.5,-53.02987114802943
122.0,-50.5951469365378
122.5,-47.10420970812448
123.0,-41.69439495479057
123.5,-32.35856121582289
124.0,-13.506404165369588
124.5,-65.0
125.0,-68.22318811455946
125.5,-70.84904670408062
126.0,-72.66608856970738
126.5,-73.73856413499611
127.0,-74.27910964451512
127.5,-74.49765806601889
128.0,-74.53931490782759
128.5,-74.48849267572375
129.0,-74.39032326662232
129.5,-74.26803565263104
130.0,-74.13341711929978
130.5,-73.99243478802447
131.0,-73.84811831446072
131.5,-73.70201272093311
132.0,-73.55490811275155
132.5,-73.40720743250222
133.0,-73.25911304038132
133.5,-73.11072216115255
134.0,-72.96207614768318
134.5,-72.81318613645614
